,date,title_translate,title,searchCount,rank,words_list,"Coron-Related ( 1 yes, 0 not ) "
0,2020/01/01,Raymond Zhang Xin month announced the marriage,林峯张馨月宣布结婚,0,1,"['林', '峯', '张馨', '月', '宣布', '结婚']",
1,2020/01/01,Kitty Zhang Yi heart and surrender,张雨绮与壹心解约,0,2,"['张雨', '绮', '与', '壹心', '解约']",
2,2020/01/01,2019 People's Liberation Army to mention gas scene,2019解放军提气一幕,0,3,"['2019', '解放', '解放军', '提气', '一幕']",
3,2020/01/01,Xiaozhan dancing and singing magical,肖战唱跳神奇,0,4,"['肖战', '唱', '跳', '神奇']",
4,2020/01/01,Wu Yifan Indian side responded neck,吴亦凡方回应脖印,0,5,"['吴亦凡方', '回应', '脖印']",
5,2020/01/01,Luo Zhenyu ridicule Sicong,罗振宇调侃王思聪,0,6,"['罗振宇', '调侃', '王思聪']",
6,2020/01/01,Micro-channel payment of the alleged infringer,微信支付被诉侵权,0,7,"['微信', '支付', '被诉', '侵权']",
7,2020/01/01,Yang Mi Lu Lu hit the face,杨幂撞脸李小璐,0,8,"['杨幂', '撞', '脸', '李小璐']",
8,2020/01/01,Nicholas Tse coming New Year's Eve,谢霆锋现身跨年晚会,0,9,"['谢霆锋', '现身', '跨年', '晚会']",
9,2020/01/01,New Year's Eve viewership rankings,跨年晚会收视排名,0,10,"['跨年', '晚会', '收视', '排名']",
10,2020/01/01,Hunan Satellite TV New Year's Eve playbill,湖南卫视跨年节目单,0,11,"['湖南', '卫视', '湖南卫视', '跨年', '节目', '节目单']",
11,2020/01/01,Chen accompanied his wife and children New Year's Eve,陈赫陪妻儿跨年,0,12,"['陈赫', '陪', '妻儿', '跨年']",
12,2020/01/01,The first baby after 20,首个20后宝宝,0,13,"['首个', '20', '后', '宝宝']",
13,2020/01/01,Ouyang Nana slip of the tongue,欧阳娜娜口误,0,14,"['欧阳', '娜娜', '口误']",
14,2020/01/01,Hanazawa coriander Wang Su waterfall Chorus,花泽香菜汪苏泷合唱,0,15,"['花泽', '香菜', '汪苏', '泷', '合唱']",
15,2020/01/01,Wang Yuan was fireworks splashed in the eyes,王源被烟花溅到眼睛,0,16,"['王源', '被', '烟花', '溅', '到', '眼睛']",
16,2020/01/01,International exposure Lippi moody,国脚曝里皮喜怒无常,0,17,"['国脚', '曝里', '皮', '喜怒', '无常', '喜怒无常']",
17,2020/01/01,Wei Chiu happy sun shine pregnant,魏秋月幸福晒孕照,0,18,"['秋月', '魏秋月', '幸福', '晒孕照']",
18,2020/01/01,Yang Mi Wei Taixun broadcast simultaneously,杨幂魏大勋同时播出,0,19,"['杨幂', '魏大勋', '同时', '播出']",
19,2020/01/01,New Year's Eve was traced to lip-synching,跨年晚会被曝假唱,0,20,"['跨年', '晚会', '被', '曝', '假唱']",
20,2020/01/01,Dalian Wanda will withdraw the party,大连一方万达将撤资,0,21,"['大连', '一方', '万达', '将', '撤资']",
21,2020/01/01,Jilin sky sun now three,吉林天空现三个太阳,0,22,"['吉林', '天空', '现', '三个', '太阳']",
22,2020/01/01,Wang Yibo water dancing and singing,王一博水中唱跳,0,23,"['王一博', '水中', '唱', '跳']",
23,2020/01/01,2020 research schedule,2020年考证时间表,0,24,"['2020', '年', '考证', '时间', '时间表']",
24,2020/01/01,Wanda official rumor,万达官方辟谣,0,25,"['万达', '官方', '辟谣']",
25,2020/01/01,Ni Ping ex-husband appeared Film Festival,倪萍前夫现身影展,0,26,"['倪萍', '前夫', '现身', '影展']",
26,2020/01/01,Lee is now even sing three songs,李现连唱三首歌,0,27,"['李现', '连唱', '三', '首歌']",
27,2020/01/01,Jane Zhang suspected affair default,张靓颖疑默认恋情,0,28,"['张靓颖', '疑', '默认', '恋情']",
